02 9 0 0 24 5016 1 33 102 0 3,98 S VI
02 9 0 0 24 5016 7 33 102 0 1,71 S VI
02 9 0 0 24 5016 8 47 102 0 0,42 S VI
02 9 0 0 24 5020 2 26 102 0 2,84 S VI
02 9 0 0 24 5020 3 77 358 0 0,13 S FO
02 9 0 0 24 5020 4 40 102 0 3,55 S VI
02 9 0 0 24 5020 6 32 102 0 1,12 S VI
02 9 0 0 24 5020 8 79 358 0 1,03 S FO
02 9 0 0 24 5020 11 85 358 0 2,67 S FO
02 9 0 0 24 5020 16 32 102 0 4,47 S VI
02 9 0 0 24 5020 22 41 102 0 1,41 S VI
02 9 0 0 24 5020 30 48 102 0 6,90 S VI
02 9 0 0 24 5020 53 32 102 0 0,76 S VI
02 9 0 0 24 5020 54 32 102 0 1,26 S VI
02 9 0 0 24 5020 64 34 102 0 0,13 S VI
02 9 0 0 24 5020 76 66 347 5 0,25 S FY
02 9 0 0 24 5020 78 46 102 0 0,14 S VI
02 9 0 0 24 5020 87 52 102 0 1,25 S VI
02 9 0 0 24 5020 92 16 101 10 0,84 S OV
02 9 0 0 24 5020 92 16 101 10 0,08 S OV
02 9 0 0 24 5020 96 7 101 10 0,17 S OV
02 9 0 0 24 5020 96 7 101 10 0,08 S OV
02 9 0 0 24 5020 114 49 102 0 1,19 S VI
02 9 0 0 24 5022 2 23 102 0 0,30 S VI
02 9 0 0 24 5022 3 48 102 0 0,30 S VI
02 9 0 0 24 5023 22 63 335 0 0,05 S TA
02 9 0 0 24 5023 26 40 102 0 0,13 S VI
02 9 0 0 24 5023 137 26 102 0 0,06 S VI
02 9 0 0 24 5368 2 33 102 0 1,93 S VI
02 9 0 0 24 5368 4 33 102 0 2,16 S VI
02 9 0 0 24 5368 10 33 102 0 1,31 S VI
02 9 0 0 24 5368 11 47 102 0 0,70 S VI
02 9 0 0 24 5369 1 33 102 0 0,19 S VI
02 9 0 0 24 5369 9 33 102 0 0,05 S VI
02 9 0 0 25 5003 2 30 102 0 2,01 S VI
02 9 0 0 25 5004 2 30 102 0 0,03 S VI
02 9 0 0 25 5005 2 30 102 0 0,10 S VI
02 9 0 0 25 5006 2 30 102 0 0,09 S VI
02 9 0 0 25 5007 1 18 102 0 2,72 S VI
02 9 0 0 25 5014 1 43 102 0 9,38 S VI
02 9 0 0 25 5014 3 43 102 0 8,51 S VI
02 9 0 0 25 5014 4 43 102 0 0,07 S EP
02 9 0 0 25 5014 6 43 102 0 0,08 S EP
02 9 0 0 25 5014 18 43 102 0 15,50 S VI
02 9 0 0 25 5015 2 71 358 0 0,07 S FO
02 9 0 0 25 5017 2 11 101 10 0,24 S OV
02 9 0 0 25 5017 2 11 101 10 0,06 S OV
02 9 0 0 25 5019 2 69 358 0 0,15 S FO
02 9 0 0 25 5026 2 21 102 0 0,10 S VI
02 9 0 0 25 5026 4 22 102 0 0,19 S VI
02 9 0 0 25 5026 6 24 102 0 0,03 S VI
02 9 0 0 25 5026 8 65 335 0 0,03 S TA
02 9 0 0 25 5026 11 22 102 0 0,01 S VI
02 9 0 0 25 5030 2 53 104 7 0,01 S FS
02 9 0 0 25 5032 2 39 102 0 0,04 S VI
02 9 0 0 25 5033 2 21 102 0 1,72 S VI
02 9 0 0 25 5033 5 73 358 0 0,03 S FO
02 9 0 0 25 5033 10 39 102 0 0,42 S VI
02 9 0 0 25 5034 2 39 102 0 0,01 S VI
02 9 0 0 25 5035 1 21 102 0 0,09 S VI
02 9 0 0 25 5036 2 21 102 0 0,05 S VI
02 9 0 0 25 5037 2 21 102 0 0,13 S VI
02 9 0 0 25 5038 1 24 102 0 0,03 S VI
02 9 0 0 25 5039 1 24 102 0 0,88 S VI
02 9 0 0 25 5039 2 67 358 0 0,13 S FO
02 9 0 0 25 5039 4 68 358 0 0,03 S FO
02 9 0 0 25 5039 5 37 102 0 0,43 S VI
02 9 0 0 25 5041 1 86 358 0 0,03 S FO
02 9 0 0 25 5041 2 22 102 0 1,88 S VI
02 9 0 0 25 5041 3 70 358 0 0,06 S FO
02 9 0 0 25 5041 4 74 358 0 0,09 S FO
02 9 0 0 25 5041 5 75 358 0 0,07 S FO
02 9 0 0 25 5041 9 31 102 0 1,33 S VI
02 9 0 0 25 5041 10 22 102 0 0,45 S VI
02 9 0 0 25 5042 2 31 102 0 0,06 S VI
02 9 0 0 25 5044 2 88 358 0 0,03 S FO
02 9 0 0 25 5044 3 35 102 0 1,41 S VI
02 9 0 0 25 5044 8 61 335 0 0,02 S TA
02 9 0 0 25 5044 9 82 358 0 0,02 S FO
02 9 0 0 25 5044 10 64 335 0 0,01 S TA
02 9 0 0 25 5049 2 3 20 0 0,42 S TA
02 9 0 0 25 5050 1 29 102 0 0,73 S VI
02 9 0 0 25 5056 1 38 102 0 1,02 S VI
02 9 0 0 25 5056 2 89 358 0 0,06 S FO
02 9 0 0 25 5057 1 38 102 0 0,67 S VI
02 9 0 0 25 5057 2 76 358 0 0,11 S FO
02 9 0 0 25 5095 1 2 20 0 0,63 S TA
02 9 0 0 25 5095 2 78 358 0 0,50 S FO
02 9 0 0 25 5095 3 72 358 0 0,55 S FO
02 9 0 0 25 5106 1 67 358 0 0,20 S FO
02 9 0 0 25 5113 3 5 101 10 0,19 S OV
02 9 0 0 25 5113 3 5 101 10 0,04 S OV
02 9 0 0 25 5113 6 5 101 10 0,04 S OV
02 9 0 0 25 5117 11 80 358 0 0,06 S FO
02 9 0 0 25 5118 16 4 101 10 0,02 S OV
02 9 0 0 25 5118 20 10 101 10 0,11 S OV
02 9 0 0 25 5118 20 10 101 10 0,04 S OV
02 9 0 0 25 5121 3 91 358 0 0,02 S FO
