02 9 0 0 25 5117 32 25 101 10 2,10 S OV
02 9 0 0 25 5117 33 70 358 0 0,09 S FO
02 9 0 0 25 5117 34 84 358 0 0,01 S FO
02 9 0 0 25 5117 35 69 358 0 0,03 S FO
02 9 0 0 25 5117 36 80 358 0 0,02 S FO
02 9 0 0 25 5118 1 22 101 10 0,04 S OV
02 9 0 0 25 5118 13 21 101 10 0,11 S OV
02 9 0 0 25 5118 14 5 101 10 0,01 S OV
02 9 0 0 25 5118 15 5 101 10 0,04 S OV
02 9 0 0 25 5118 18 9 101 10 0,01 S OV
02 9 0 0 25 5118 19 19 101 10 0,03 S OV
02 9 0 0 25 5119 1 19 101 10 0,27 S OV
02 9 0 0 25 5121 2 9 101 10 0,88 S OV
02 9 0 0 25 5123 2 5 101 10 0,25 S OV
02 9 0 0 25 5123 2 5 101 10 0,05 S OV
02 9 0 0 25 5124 2 7 101 10 3,23 S OV
02 9 0 0 25 5124 2 7 101 10 0,04 S OV
02 9 0 0 25 5124 2 7 101 10 0,31 S OV
02 9 0 0 25 5124 10 74 358 0 0,04 S FO
02 9 0 0 25 5124 11 87 358 0 0,01 S FO
02 9 0 0 25 5124 12 71 358 0 0,03 S FO
02 9 0 0 25 5124 13 77 358 0 0,04 S FO
02 9 0 0 25 5124 14 79 358 0 0,05 S FO
02 9 0 0 25 5126 1 11 101 10 0,09 S OV
02 9 0 0 25 5161 1 31 102 0 1,29 S VI
02 9 0 0 25 5161 4 31 102 0 0,88 S VI
02 9 0 0 25 5161 5 31 102 0 0,31 S VI
02 9 0 0 25 5161 6 55 335 0 0,06 S TA
02 9 0 0 25 5161 7 31 102 0 0,64 S VI
02 9 0 0 25 5161 9 31 102 0 0,03 S VI
02 9 0 0 25 5162 4 34 102 0 0,05 S VI
02 9 0 0 25 5162 6 34 102 0 0,46 S VI
02 9 0 0 25 5162 7 34 102 0 0,36 S VI
02 9 0 0 25 5162 8 34 102 0 0,39 S VI
02 9 0 0 25 5162 9 34 102 0 3,38 S VI
02 9 0 0 25 5162 10 34 102 0 0,09 S VI
02 9 0 0 25 5162 11 34 102 0 0,76 S VI
02 9 0 0 25 5162 14 34 102 0 1,95 S VI
02 9 0 0 25 5162 15 34 102 0 0,63 S VI
02 9 0 0 25 5169 1 31 102 0 0,70 S VI
02 9 0 0 25 5169 2 31 102 0 1,12 S VI
02 9 0 0 25 5169 5 58 335 0 0,08 S TA
02 9 0 0 25 5169 6 31 102 0 0,36 S VI
02 9 0 0 25 5169 7 31 102 0 0,03 S VI
02 9 0 0 25 5169 8 31 102 0 0,04 S EP
02 9 0 0 25 5169 9 31 102 0 0,16 S VI
02 9 0 0 25 5170 1 31 102 0 1,18 S VI
